abbr,name,Tmin [C],Tmax [C],mp [C],A [log10(atm)],B [K],C [K],SE [atm],ref,data_source,data_num,formula,IUPAC,CAS,smiles,phase,Tmid [C],P@25 [log10(atm)],P@100 [log10(atm)],P@200 [log10(atm)],P@500 [log10(atm)],P@min [log10(atm)],P@max [log10(atm)],P@mid [log10(atm)],data_type,P25_MAD,P25_mean,P25_SD,P25_median,num_valid,num_outliers
AN,Ammonium nitrate,60.0,87.0,170.0,8.26,4770.0,0.0,,Hildenbrand 2010 [62],Ewing 2013,1,NH4NO3,azanium;nitrate,6484-52-2,O=N(=O)O.N,solid,73.5,-7.73865839342613,-4.523063111349325,-1.8213695445419003,2.090433939080385,-6.057874831157138,-4.984481466055811,-5.500276936391174,valid,0.10446771759181672,-7.8729203756498425,0.21907945255464278,-7.843126111017947,5,0
AN,Ammonium nitrate,100.0,160.0,170.0,10.26,5511.0,0.0,,Oxley 2010 [47],Ewing 2013,1,NH4NO3,azanium;nitrate,6484-52-2,O=N(=O)O.N,solid,130.0,-8.223984571524403,-4.50885970789227,-1.3874690901405486,3.1320170730129986,-4.50885970789227,-2.463075147177653,-3.4098499317871767,valid,0.10446771759181672,-7.8729203756498425,0.21907945255464278,-7.843126111017947,5,0
ANI,Aniline,57.3,115.0,-6.15,4.153467245,1549.124776,-85.92423108,0.015442109,Gould 1947,Gould 1947,19,C6H7N,Aniline,62-53-3,NC=1C=CC=CC1,liquid,86.15,-3.1459515950559114,-1.23993732947421,0.15289470996283328,1.899295696056913,-2.181753712864845,-0.9722531114599349,-1.5131826637317891,valid,0.028816796674935752,-3.107047364720179,0.03729378131160845,-3.1039525886674584,4,0
ANI,Aniline,30.85,183.85,-6.15,4.33969327,1661.858,-74.048,,Hatton 1962,NIST,2,C6H7N,Aniline,62-53-3,NC=1C=CC=CC1,liquid,107.35,-3.075938897495159,-1.2164648299124048,0.1757001053453502,1.9625608916060027,-2.8872845340634568,9.457355762609865e-05,-1.083204932654902,valid,0.028816796674935752,-3.107047364720179,0.03729378131160845,-3.1039525886674584,4,0
ANI,Aniline,4.2,77.66,-6.15,5.671900195,2462.424777,-16.60881417,0.043341894,Maher 1980,Maher 1980,18,C6H7N,Aniline,62-53-3,NC=1C=CC=CC1,liquid,40.93,-3.0743326864898863,-1.2345242935697236,0.27824710645494743,2.4170545592022896,-3.7720423458054677,-1.6961908872757405,-2.6059596257062543,valid,0.028816796674935752,-3.107047364720179,0.03729378131160845,-3.1039525886674584,4,0
ANI,Aniline,76.817,225.696,-6.15,4.283582762,1613.645479,-80.54703225,0.000344308,Steele 2002,Steele 2002,17,C6H7N,Aniline,62-53-3,NC=1C=CC=CC1,liquid,151.2565,-3.131966279839758,-1.2312125642685263,0.17346233105223785,1.9537552069115312,-1.705748661635731,0.4259459916305133,-0.4091642184995665,valid,0.028816796674935752,-3.107047364720179,0.03729378131160845,-3.1039525886674584,4,0
AP,Ammonium perchlorate,247.0,347.0,347.0,7.68,6284.0,0.0,,Inami 1963 [45],Ewing 2013,1,NH4ClO4,azanium;perchlorate,7790-98-9,O=Cl(=O)(=O)O.N,solid,297.0,-13.39663927553245,-9.160412702666488,-5.6012004649688265,-0.4477889154756518,-4.401130443141403,-2.453032330887689,-3.3416609664123484,valid,,,,,1,0
BDNPA,"Bis(2,2-dinitropropyl)acetal",80.0,110.0,32.0,8.43428327,4851.4,0.0,,Rauch 2007,Rauch 2007,14,C8H14N4O10,"1-[1-(2,2-dinitropropoxy)ethoxy]-2,2-dinitropropane",5108-69-0,O=N(=O)C(N(=O)=O)(C)COC(OCC(N(=O)=O)(N(=O)=O)C)C,liquid,95.0,-7.837392061209124,-4.566922679350128,-1.8191247401447743,2.1594336289212963,-5.30322203935863,-4.227598499541955,-4.743497525871248,valid,,,,,1,0
BDNPF,Bis(dinitropropyl) formal,80.0,110.0,31.0,7.16928327,4420.7,0.0,,Rauch 2007,Rauch 2007,14,C7H12N4O10,"1-(2,2-dinitropropoxymethoxy)-2,2-dinitropropane",5917-61-3,O=N(=O)C(N(=O)=O)(C)COCOCC(N(=O)=O)(N(=O)=O)C,liquid,95.0,-7.657817182792219,-4.677695156906069,-2.173842588607207,1.4515053485099916,-5.348626966443438,-4.368495667752838,-4.838593953957626,valid,,,,,1,0
DADP,Diacetone diperoxide,73.0,86.0,132.0,8.570328775,3642.42782,0.0,,Brady 2012,Brady 2012,3,C6H12O4,"3,3,6,6-tetramethyl-1,2,4,5-tetraoxane",,CC1(OOC(OO1)(C)C)C,solid,79.5,-3.646433995417576,-1.1909678081435082,0.8720770155156927,3.8591759327313593,-1.9523574015130727,-1.5714721995231802,-1.7584045866900606,valid,0.059947277631310136,-3.6706897961758735,0.09131542615443236,-3.697790428068507,10,0
DADP,Diacetone diperoxide,75.0,86.0,132.0,8.500841657,3659.365305,0.0,,Brady 2012,Brady 2012,3,C6H12O4,"3,3,6,6-tetramethyl-1,2,4,5-tetraoxane",,CC1(OOC(OO1)(C)C)C,solid,80.5,-3.7727297164697298,-1.305845479540265,0.7667926133563361,3.7677817009759433,-2.010045331367083,-1.6881192367769735,-1.846578970739289,valid,0.059947277631310136,-3.6706897961758735,0.09131542615443236,-3.697790428068507,10,0
DADP,Diacetone diperoxide,57.0,94.0,132.0,9.816753938,4049.796044,0.0,,Brady 2012,Brady 2012,3,C6H12O4,"3,3,6,6-tetramethyl-1,2,4,5-tetraoxane",,CC1(OOC(OO1)(C)C)C,solid,75.5,-3.7663285506801962,-1.036243634021977,1.2575316110423742,4.578706930304209,-2.4497795891846152,-1.2136043460800785,-1.7988951197943504,valid,0.059947277631310136,-3.6706897961758735,0.09131542615443236,-3.697790428068507,10,0
